#options: 1280x720 fps=24/1 timebase=1/24 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=18 lookahead_threads=5 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=8 b_pyramid=2 b_adapt=2 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=24 scenecut=40 intra_refresh=0 rc_lookahead=60 rc=abr mbtree=1 bitrate=1000 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:33.27 aq:26.93 tex:898548 mv:155745 misc:219 imb:3600 pmb:0 smb:0 d:- ref:;
in:4 out:1 type:P dur:2 cpbdur:2 q:37.48 aq:32.44 tex:6179 mv:2483 misc:1834 imb:3 pmb:480 smb:3117 d:- ref:0 ;
in:2 out:2 type:B dur:2 cpbdur:2 q:37.48 aq:39.00 tex:134 mv:3337 misc:1825 imb:0 pmb:448 smb:3152 d:s ref:0 ;
in:1 out:3 type:b dur:2 cpbdur:2 q:37.48 aq:42.00 tex:44 mv:1151 misc:1309 imb:0 pmb:247 smb:3353 d:s ref:0 ;
in:3 out:4 type:b dur:2 cpbdur:2 q:37.48 aq:42.00 tex:42 mv:392 misc:406 imb:0 pmb:34 smb:3566 d:- ref:0 ;
in:10 out:5 type:P dur:2 cpbdur:2 q:37.61 aq:31.47 tex:15350 mv:4355 misc:2751 imb:18 pmb:839 smb:2743 d:- ref:0 ;
in:7 out:6 type:B dur:2 cpbdur:2 q:37.55 aq:38.87 tex:822 mv:478 misc:516 imb:0 pmb:48 smb:3552 d:t ref:0 ;
in:5 out:7 type:b dur:2 cpbdur:2 q:37.51 aq:39.88 tex:48 mv:1093 misc:1099 imb:1 pmb:201 smb:3398 d:s ref:0 ;
in:6 out:8 type:b dur:2 cpbdur:2 q:37.53 aq:42.00 tex:20 mv:112 misc:332 imb:0 pmb:15 smb:3585 d:t ref:0 ;
in:8 out:9 type:b dur:2 cpbdur:2 q:37.57 aq:38.62 tex:22 mv:236 misc:454 imb:1 pmb:44 smb:3555 d:- ref:0 ;
in:9 out:10 type:b dur:2 cpbdur:2 q:37.59 aq:39.03 tex:54 mv:281 misc:361 imb:0 pmb:27 smb:3573 d:- ref:0 ;
in:15 out:11 type:P dur:2 cpbdur:2 q:37.66 aq:31.01 tex:20523 mv:5376 misc:3133 imb:26 pmb:1071 smb:2503 d:- ref:0 ;
in:12 out:12 type:B dur:2 cpbdur:2 q:37.63 aq:39.05 tex:820 mv:1596 misc:936 imb:0 pmb:156 smb:3444 d:t ref:0 ;
in:11 out:13 type:b dur:2 cpbdur:2 q:37.62 aq:41.00 tex:51 mv:844 misc:745 imb:0 pmb:107 smb:3493 d:s ref:0 ;
in:13 out:14 type:b dur:2 cpbdur:2 q:37.64 aq:41.00 tex:6 mv:276 misc:534 imb:0 pmb:58 smb:3542 d:- ref:0 ;
in:14 out:15 type:b dur:2 cpbdur:2 q:37.65 aq:40.00 tex:35 mv:165 misc:632 imb:0 pmb:87 smb:3513 d:- ref:0 ;
in:24 out:16 type:P dur:2 cpbdur:2 q:37.82 aq:31.83 tex:24271 mv:7121 misc:3224 imb:46 pmb:1199 smb:2355 d:- ref:0 ;
in:19 out:17 type:B dur:2 cpbdur:2 q:37.73 aq:35.17 tex:2701 mv:10368 misc:3339 imb:2 pmb:1372 smb:2226 d:s ref:0 ;
in:16 out:18 type:b dur:2 cpbdur:2 q:37.68 aq:41.69 tex:467 mv:4061 misc:2456 imb:0 pmb:654 smb:2946 d:s ref:0 ;
in:17 out:19 type:b dur:2 cpbdur:2 q:37.70 aq:42.22 tex:569 mv:3877 misc:2458 imb:0 pmb:648 smb:2952 d:s ref:0 ;
in:18 out:20 type:b dur:2 cpbdur:2 q:37.71 aq:43.21 tex:171 mv:794 misc:715 imb:0 pmb:100 smb:3500 d:s ref:0 ;
in:20 out:21 type:b dur:2 cpbdur:2 q:37.75 aq:36.48 tex:35 mv:168 misc:733 imb:1 pmb:98 smb:3501 d:- ref:0 ;
in:21 out:22 type:b dur:2 cpbdur:2 q:37.77 aq:41.84 tex:352 mv:1161 misc:919 imb:0 pmb:145 smb:3455 d:- ref:0 ;
in:22 out:23 type:b dur:2 cpbdur:2 q:37.78 aq:40.25 tex:373 mv:891 misc:696 imb:0 pmb:100 smb:3500 d:- ref:0 ;
in:23 out:24 type:b dur:2 cpbdur:2 q:37.80 aq:39.98 tex:85 mv:590 misc:613 imb:0 pmb:74 smb:3526 d:- ref:0 ;
in:31 out:25 type:P dur:2 cpbdur:2 q:45.82 aq:42.50 tex:2525 mv:2473 misc:1290 imb:29 pmb:299 smb:3272 d:s ref:0 ;
in:27 out:26 type:B dur:2 cpbdur:2 q:41.25 aq:39.55 tex:1025 mv:1859 misc:1068 imb:2 pmb:210 smb:3388 d:t ref:0 ;
in:25 out:27 type:b dur:2 cpbdur:2 q:38.96 aq:41.05 tex:118 mv:786 misc:1024 imb:0 pmb:170 smb:3430 d:t ref:0 ;
in:26 out:28 type:b dur:2 cpbdur:2 q:40.11 aq:42.92 tex:109 mv:935 misc:748 imb:1 pmb:97 smb:3502 d:s ref:0 ;
in:28 out:29 type:b dur:2 cpbdur:2 q:42.39 aq:44.60 tex:25 mv:232 misc:423 imb:0 pmb:34 smb:3566 d:- ref:0 ;
in:29 out:30 type:b dur:2 cpbdur:2 q:43.53 aq:46.70 tex:94 mv:815 misc:795 imb:0 pmb:115 smb:3485 d:- ref:0 ;
in:30 out:31 type:b dur:2 cpbdur:2 q:44.68 aq:46.00 tex:1 mv:68 misc:259 imb:0 pmb:5 smb:3595 d:- ref:0 ;
in:36 out:32 type:P dur:2 cpbdur:2 q:41.82 aq:38.35 tex:6768 mv:4267 misc:2109 imb:28 pmb:597 smb:2975 d:s ref:0 ;
in:33 out:33 type:B dur:2 cpbdur:2 q:44.22 aq:43.06 tex:154 mv:962 misc:828 imb:1 pmb:117 smb:3482 d:t ref:0 ;
in:32 out:34 type:b dur:2 cpbdur:2 q:45.02 aq:46.00 tex:1 mv:19 misc:236 imb:0 pmb:2 smb:3598 d:s ref:0 ;
in:34 out:35 type:b dur:2 cpbdur:2 q:43.42 aq:46.46 tex:73 mv:522 misc:637 imb:0 pmb:80 smb:3520 d:- ref:0 ;
in:35 out:36 type:b dur:2 cpbdur:2 q:42.62 aq:43.00 tex:20 mv:548 misc:720 imb:0 pmb:95 smb:3505 d:- ref:0 ;
in:42 out:37 type:P dur:2 cpbdur:2 q:37.82 aq:35.31 tex:22953 mv:7883 misc:3092 imb:47 pmb:1196 smb:2357 d:s ref:0 ;
in:39 out:38 type:B dur:2 cpbdur:2 q:39.82 aq:39.56 tex:1193 mv:1595 misc:948 imb:1 pmb:173 smb:3426 d:t ref:0 ;
in:37 out:39 type:b dur:2 cpbdur:2 q:41.15 aq:44.19 tex:27 mv:283 misc:402 imb:0 pmb:30 smb:3570 d:s ref:0 ;
in:38 out:40 type:b dur:2 cpbdur:2 q:40.49 aq:42.23 tex:44 mv:472 misc:548 imb:0 pmb:59 smb:3541 d:s ref:0 ;
in:40 out:41 type:b dur:2 cpbdur:2 q:39.15 aq:41.97 tex:195 mv:911 misc:750 imb:1 pmb:107 smb:3492 d:- ref:0 ;
in:41 out:42 type:b dur:2 cpbdur:2 q:38.49 aq:40.52 tex:336 mv:840 misc:696 imb:0 pmb:94 smb:3506 d:- ref:0 ;
in:46 out:43 type:P dur:2 cpbdur:2 q:33.79 aq:32.41 tex:58561 mv:10681 misc:3486 imb:46 pmb:2005 smb:1549 d:s ref:0 ;
in:44 out:44 type:B dur:2 cpbdur:2 q:35.81 aq:36.56 tex:1890 mv:1599 misc:999 imb:0 pmb:170 smb:3430 d:s ref:0 ;
in:43 out:45 type:b dur:2 cpbdur:2 q:36.81 aq:37.00 tex:38 mv:404 misc:486 imb:0 pmb:52 smb:3548 d:s ref:0 ;
in:45 out:46 type:b dur:2 cpbdur:2 q:34.80 aq:38.24 tex:427 mv:988 misc:713 imb:0 pmb:107 smb:3493 d:- ref:0 ;
in:49 out:47 type:P dur:2 cpbdur:2 q:32.40 aq:33.62 tex:8089 mv:2895 misc:2016 imb:8 pmb:547 smb:3045 d:s ref:0 ;
in:47 out:48 type:B dur:2 cpbdur:2 q:33.33 aq:36.83 tex:811 mv:953 misc:908 imb:0 pmb:142 smb:3458 d:t ref:0 ;
in:48 out:49 type:b dur:2 cpbdur:2 q:32.86 aq:35.27 tex:1681 mv:1063 misc:1120 imb:2 pmb:173 smb:3425 d:- ref:0 ;
in:50 out:50 type:I dur:2 cpbdur:2 q:35.31 aq:27.48 tex:306179 mv:84864 misc:237 imb:3600 pmb:0 smb:0 d:s ref:;
in:56 out:51 type:P dur:2 cpbdur:2 q:32.71 aq:24.68 tex:87504 mv:13129 misc:2431 imb:288 pmb:2705 smb:607 d:s ref:0 ;
in:53 out:52 type:B dur:2 cpbdur:2 q:32.71 aq:27.03 tex:1775 mv:3249 misc:1960 imb:2 pmb:444 smb:3154 d:s ref:0 ;
in:51 out:53 type:b dur:2 cpbdur:2 q:32.71 aq:31.22 tex:346 mv:179 misc:419 imb:0 pmb:33 smb:3567 d:s ref:0 ;
in:52 out:54 type:b dur:2 cpbdur:2 q:32.71 aq:30.49 tex:126 mv:102 misc:300 imb:0 pmb:11 smb:3589 d:s ref:0 ;
in:54 out:55 type:b dur:2 cpbdur:2 q:32.71 aq:28.01 tex:222 mv:136 misc:394 imb:0 pmb:27 smb:3573 d:- ref:0 ;
in:55 out:56 type:b dur:2 cpbdur:2 q:32.71 aq:20.67 tex:34 mv:98 misc:284 imb:0 pmb:9 smb:3591 d:- ref:0 ;
in:61 out:57 type:P dur:2 cpbdur:2 q:31.66 aq:23.91 tex:87684 mv:10701 misc:3023 imb:175 pmb:2447 smb:978 d:s ref:0 ;
in:58 out:58 type:B dur:2 cpbdur:2 q:32.29 aq:27.06 tex:1701 mv:1511 misc:1228 imb:1 pmb:240 smb:3359 d:s ref:0 ;
in:57 out:59 type:b dur:2 cpbdur:2 q:32.50 aq:26.57 tex:256 mv:142 misc:402 imb:0 pmb:28 smb:3572 d:s ref:0 ;
in:59 out:60 type:b dur:2 cpbdur:2 q:32.08 aq:30.99 tex:183 mv:97 misc:296 imb:0 pmb:12 smb:3588 d:- ref:0 ;
in:60 out:61 type:b dur:2 cpbdur:2 q:31.87 aq:32.17 tex:94 mv:90 misc:304 imb:0 pmb:11 smb:3589 d:- ref:0 ;
in:65 out:62 type:P dur:2 cpbdur:2 q:30.93 aq:23.51 tex:106461 mv:10583 misc:2772 imb:108 pmb:2384 smb:1108 d:s ref:0 ;
in:63 out:63 type:B dur:2 cpbdur:2 q:31.29 aq:24.42 tex:1160 mv:661 misc:483 imb:1 pmb:62 smb:3537 d:t ref:0 ;
in:62 out:64 type:b dur:2 cpbdur:2 q:31.48 aq:31.39 tex:370 mv:329 misc:357 imb:0 pmb:27 smb:3573 d:s ref:0 ;
in:64 out:65 type:b dur:2 cpbdur:2 q:31.11 aq:31.29 tex:235 mv:147 misc:322 imb:0 pmb:16 smb:3584 d:- ref:0 ;
in:68 out:66 type:P dur:2 cpbdur:2 q:30.11 aq:22.87 tex:92447 mv:7460 misc:3205 imb:71 pmb:2149 smb:1380 d:s ref:0 ;
in:66 out:67 type:B dur:2 cpbdur:2 q:30.65 aq:30.53 tex:1104 mv:582 misc:442 imb:0 pmb:49 smb:3551 d:s ref:0 ;
in:67 out:68 type:b dur:2 cpbdur:2 q:30.38 aq:30.20 tex:375 mv:191 misc:338 imb:0 pmb:20 smb:3580 d:- ref:0 ;
in:74 out:69 type:P dur:2 cpbdur:2 q:32.14 aq:25.30 tex:28860 mv:7049 misc:2963 imb:71 pmb:1127 smb:2402 d:s ref:0 ;
in:71 out:70 type:B dur:2 cpbdur:2 q:31.12 aq:27.87 tex:4476 mv:3309 misc:1647 imb:3 pmb:358 smb:3239 d:s ref:0 ;
in:69 out:71 type:b dur:2 cpbdur:2 q:30.45 aq:31.47 tex:674 mv:608 misc:414 imb:0 pmb:48 smb:3552 d:s ref:0 ;
in:70 out:72 type:b dur:2 cpbdur:2 q:30.79 aq:28.77 tex:753 mv:824 misc:839 imb:0 pmb:134 smb:3466 d:s ref:0 ;
in:72 out:73 type:b dur:2 cpbdur:2 q:31.46 aq:30.89 tex:359 mv:429 misc:308 imb:0 pmb:32 smb:3568 d:- ref:0 ;
in:73 out:74 type:b dur:2 cpbdur:2 q:31.80 aq:32.81 tex:496 mv:428 misc:356 imb:0 pmb:34 smb:3566 d:- ref:0 ;
